function,seed0,seed1,seed2,mean_across_seeds,std_across_seeds,median_across_seeds,best_seed_value,worst_seed_value
1,7.184022858079211e-10,1.811084205958953e-05,2.482542985641582e-05,1.4312330106097052e-05,1.2840875923815414e-05,1.811084205958953e-05,7.184022858079211e-10,2.482542985641582e-05
2,69.24634965477455,5404.047891007026,93.3442313712108,1855.5461573443372,3073.116267297926,93.3442313712108,69.24634965477455,5404.047891007026
3,96.7734144015386,1155.7968874977196,598.5655717466306,617.0452912152963,529.7535315275443,598.5655717466306,96.7734144015386,1155.7968874977196
4,9.094947017729282e-13,6.780711032661202e-06,1.4092620403971522e-10,2.2602842894533145e-06,3.914804396190564e-06,1.4092620403971522e-10,9.094947017729282e-13,6.780711032661202e-06
5,0.0002204551429144,0.0045085212674621,0.04278838844657,0.015839121618982165,0.02343702444169306,0.0045085212674621,0.0002204551429144,0.04278838844657
6,8.063047864634582,9.336423629323871,17.665435369233652,11.688302287730702,5.2153582202013915,9.336423629323871,8.063047864634582,17.665435369233652
7,0.5204906117511275,0.7708638072422673,0.863683447747629,0.7183459555803413,0.17752161622523166,0.7708638072422673,0.5204906117511275,0.863683447747629
8,20.939871735259644,20.912018767662524,20.937873123477395,20.929921208799854,0.015536140488252664,20.937873123477395,20.912018767662524,20.939871735259644
9,11.689744066563035,11.841005986182,12.01233674619776,11.847695599647599,0.16140034831039715,11.841005986182,11.689744066563035,12.01233674619776
10,0.0050726212860259,0.4333373339505726,0.3969859531014056,0.27846530277933473,0.23746162730636425,0.3969859531014056,0.0050726212860259,0.4333373339505726
11,7.875014364853966,7.378743705458887,6.70840256926852,7.32072021319379,0.5854663223796506,7.378743705458887,6.70840256926852,7.875014364853966
12,6.4393258617898175,6.866663891908614,6.339777290172711,6.5485890146237145,0.27992177514013517,6.4393258617898175,6.339777290172711,6.866663891908614
13,9.471208304854429,7.815064759122241,6.766023474338316,8.017432179438329,1.3638990693660815,7.815064759122241,6.766023474338316,9.471208304854429
14,899.7972695290412,1067.6646623018069,907.5577332077568,958.3398883462015,94.75751078125843,907.5577332077568,899.7972695290412,1067.6646623018069
15,1133.3674069483272,1130.7897624882132,955.4481636237662,1073.2017776867688,101.98576509206876,1130.7897624882132,955.4481636237662,1133.3674069483272
16,0.0646496469153523,0.2369102855067609,0.1402752306842548,0.14727838770212268,0.0863435872438866,0.1402752306842548,0.0646496469153523,0.2369102855067609
17,41.3972148859316,42.52560759345291,43.359639788461,42.42748742261517,0.9848850442873056,42.52560759345291,41.3972148859316,43.359639788461
18,51.85369609802374,56.579429364178274,54.060256925194274,54.16446079579876,2.364589300639039,54.060256925194274,51.85369609802374,56.579429364178274
19,1.6394838524344304,1.320496774512916,2.168490494221921,1.7094903737230893,0.42830949316316025,1.6394838524344304,1.320496774512916,2.168490494221921
20,10.942198659673458,10.782066165471283,10.767039169846097,10.830434664996949,0.09708164362493271,10.782066165471283,10.767039169846097,10.942198659673458
21,386.12651178116806,386.1529826187988,386.1750181506741,386.15150418354693,0.02428695737960687,386.1529826187988,386.12651178116806,386.1750181506741
22,1332.4353591263016,1370.924894519229,1210.592412813518,1304.650888819683,83.69951472465398,1332.4353591263016,1210.592412813518,1370.924894519229
23,1322.224299536597,1360.383872054386,1273.7260512919822,1318.7780742943216,43.43157637177816,1322.224299536597,1273.7260512919822,1360.383872054386
24,215.26752295089287,216.6486985280819,218.84683333933688,216.92101827277054,1.805127210674162,216.6486985280819,215.26752295089287,218.84683333933688
25,264.7206441855682,265.67466952193496,266.1451660475641,265.5134932516891,0.7258091873170638,265.67466952193496,264.7206441855682,266.1451660475641
26,268.51070945579806,267.5164925940348,268.56624245988525,268.19781483657266,0.5906953337113843,268.51070945579806,267.5164925940348,268.56624245988525
27,538.6851493150626,534.7012373644668,551.0979490541448,541.4947785778915,8.551815655433275,538.6851493150626,534.7012373644668,551.0979490541448
28,300.00019208761984,300.1431564427528,300.2161819996211,300.1198435099979,0.10986596446034728,300.1431564427528,300.00019208761984,300.2161819996211
