function,seed0,seed1,seed2,mean_across_seeds,std_across_seeds,median_across_seeds,best_seed_value,worst_seed_value
1,2.599942187468211e-10,2.197945529284577e-13,3.682080599295053e-06,1.2274469377694509e-06,2.1257751118337105e-06,2.599942187468211e-10,2.197945529284577e-13,3.682080599295053e-06
2,1840.755893060494,118.36059203299072,125.090302463301,694.735595852262,992.4883946226034,125.090302463301,118.36059203299072,1840.755893060494
3,4744.013560269054,41.009960988379625,6.635036087724681e-05,1595.0078625359317,2727.196017181623,41.009960988379625,6.635036087724681e-05,4744.013560269054
4,24.758230016715075,5.4258453019429e-08,4.109181266661229e-07,8.252743493963886,14.294170630524212,4.109181266661229e-07,5.4258453019429e-08,24.758230016715075
5,6.449540826451994e-05,3.3982449902699345e-05,0.0027196108985322,0.0009393629188998064,0.0015418154597408573,6.449540826451994e-05,3.3982449902699345e-05,0.0027196108985322
6,7.922225499976514,7.922225446067413,10.851810909890654,8.898753951978193,1.6913969405901461,7.922225499976514,7.922225446067413,10.851810909890654
7,0.820036447999549,1.2748466132513805,0.6586987495556097,0.9178606036021798,0.31951012745880425,0.820036447999549,0.6586987495556097,1.2748466132513805
8,20.945738092655528,20.933730643551375,20.94998275793004,20.94315049804565,0.00842938549617489,20.945738092655528,20.933730643551375,20.94998275793004
9,11.257002702745924,12.74629330878134,12.28803235854535,12.097109456690871,0.7627812878838438,12.28803235854535,11.257002702745924,12.74629330878134
10,0.0064085819924741,0.0007396040335815,0.0518485907320477,0.019665592252701102,0.028015056150502742,0.0064085819924741,0.0007396040335815,0.0518485907320477
11,7.340237991907247,14.91980326183202,15.922338576101698,12.727459943280323,4.692322402510977,14.91980326183202,7.340237991907247,15.922338576101698
12,7.086731312582009,13.730432301050683,14.329822074900964,11.715661896177886,4.0199584308871925,13.730432301050683,7.086731312582009,14.329822074900964
13,8.145979885285723,26.50714746501376,23.38663052154825,19.346585957282578,9.824692808615108,23.38663052154825,8.145979885285723,26.50714746501376
14,1110.2095292493202,1891.9589228709456,1604.9557452698257,1535.7080657966972,395.4484282953399,1604.9557452698257,1110.2095292493202,1891.9589228709456
15,1188.0640478476937,1951.868830920883,1755.3347249758451,1631.7558679148071,396.61472122924886,1755.3347249758451,1188.0640478476937,1951.868830920883
16,0.0414444661671439,0.0121370897435023,0.0712679205131886,0.041616492141278265,0.029565790731522008,0.0414444661671439,0.0121370897435023,0.0712679205131886
17,40.61944654824797,42.944286094744285,47.34684140144826,43.636858014813505,3.416753177516296,42.944286094744285,40.61944654824797,47.34684140144826
18,38.923391423746594,43.63268860327916,56.786144089999134,46.4474080390083,9.25804878634432,43.63268860327916,38.923391423746594,56.786144089999134
19,1.9021373003815067,1.6229566914547509,1.8144490024034208,1.7798476647465595,0.1427704189456333,1.8144490024034208,1.6229566914547509,1.9021373003815067
20,10.803860813031914,11.171081199663163,10.713314436402634,10.89608548303257,0.24241832584203066,10.803860813031914,10.713314436402634,11.171081199663163
21,386.1265266057116,386.1264849961225,386.1352628225393,386.12942480812444,0.005055911596368775,386.1265266057116,386.1264849961225,386.1352628225393
22,1265.333361125759,2177.9441247965515,1858.4418553702017,1767.2397804308373,463.0906664432796,1858.4418553702017,1265.333361125759,2177.9441247965515
23,1565.2392784067074,2224.0873642371835,1857.3586754790424,1882.2284393743112,330.1273677200595,1857.3586754790424,1565.2392784067074,2224.0873642371835
24,215.00717348598408,217.98737373027797,216.1052306133793,216.36659260988043,1.5071930679025936,216.1052306133793,215.00717348598408,217.98737373027797
25,263.19948565820147,271.8474419409087,268.1475229796836,267.7314835262646,4.33896342310059,268.1475229796836,263.19948565820147,271.8474419409087
26,266.6856603880777,268.5760861472911,268.5564581666215,267.9394015673301,1.0858160630701774,268.5564581666215,266.6856603880777,268.5760861472911
27,522.1904131549139,574.7501380933943,554.7643956506171,550.5683156329751,26.529916830589944,554.7643956506171,522.1904131549139,574.7501380933943
28,300.00016888860654,300.00000000125334,300.0540249952565,300.0180646283721,0.03114270573631186,300.00016888860654,300.00000000125334,300.0540249952565
