function,mean_across_seeds_dqn,mean_across_seeds_ddqn,difference_dqn_minus_ddqn,winner
1,1.2274469377694509e-06,1.4312330106097052e-05,-1.30848831683276e-05,dqn_win
2,694.735595852262,1855.5461573443372,-1160.810561492075,dqn_win
3,1595.0078625359317,617.0452912152963,977.9625713206354,ddqn_win
4,8.252743493963886,2.2602842894533145e-06,8.252741233679597,ddqn_win
5,0.0009393629188998064,0.015839121618982165,-0.01489975870008236,dqn_win
6,8.898753951978193,11.688302287730702,-2.7895483357525084,dqn_win
7,0.9178606036021798,0.7183459555803413,0.1995146480218385,ddqn_win
8,20.94315049804565,20.929921208799854,0.013229289245796139,ddqn_win
9,12.097109456690871,11.847695599647599,0.24941385704327246,ddqn_win
10,0.019665592252701102,0.27846530277933473,-0.25879971052663364,dqn_win
11,12.727459943280323,7.32072021319379,5.4067397300865325,ddqn_win
12,11.715661896177886,6.5485890146237145,5.167072881554172,ddqn_win
13,19.346585957282578,8.017432179438329,11.32915377784425,ddqn_win
14,1535.7080657966972,958.3398883462015,577.3681774504956,ddqn_win
15,1631.7558679148071,1073.2017776867688,558.5540902280384,ddqn_win
16,0.041616492141278265,0.14727838770212268,-0.1056618955608444,dqn_win
17,43.636858014813505,42.42748742261517,1.2093705921983329,ddqn_win
18,46.4474080390083,54.16446079579876,-7.7170527567904585,dqn_win
19,1.7798476647465595,1.7094903737230893,0.07035729102347021,ddqn_win
20,10.89608548303257,10.830434664996949,0.06565081803562123,ddqn_win
21,386.12942480812444,386.15150418354693,-0.02207937542249283,dqn_win
22,1767.2397804308373,1304.650888819683,462.5888916111544,ddqn_win
23,1882.2284393743112,1318.7780742943216,563.4503650799895,ddqn_win
24,216.36659260988043,216.92101827277054,-0.554425662890111,dqn_win
25,267.7314835262646,265.5134932516891,2.2179902745754703,ddqn_win
26,267.9394015673301,268.19781483657266,-0.2584132692425669,dqn_win
27,550.5683156329751,541.4947785778915,9.073537055083648,ddqn_win
28,300.0180646283721,300.1198435099979,-0.10177888162581894,dqn_win
